"animal_id","animal_type","breed","color","age_in_years","sex_upon_outcome","outcome_subtype","adoption_date","next_intake_date","return_type","churn_180_days_flag"
"A354540","Cat","Domestic Shorthair Mix","Black/White","10.00","Neutered Male","Foster","2015-01-22 12:07:00",NULL,NULL,0
"A354597","Cat","Maine Coon Mix","Brown Tabby","10.00","Spayed Female",NULL,"2014-06-03 12:30:00",NULL,NULL,0
"A355688","Dog","Australian Shepherd/Chow Chow","Blue","9.00","Neutered Male",NULL,"2014-02-23 17:48:00",NULL,NULL,0
"A355753","Dog","Beagle Mix","Tricolor","11.00","Neutered Male",NULL,"2015-09-19 18:08:00","2015-09-29 13:08:00","Owner Surrender",1
"A362137","Dog","Keeshond Mix","Brown/Black","9.00","Spayed Female","Foster","2014-01-01 07:39:00",NULL,NULL,0
"A362707","Dog","Labrador Retriever Mix","Black","12.00","Spayed Female","Foster","2017-01-10 10:44:00",NULL,NULL,0
"A367438","Dog","Chihuahua Shorthair Mix","Brown/White","16.00","Spayed Female",NULL,"2015-09-12 13:30:00",NULL,NULL,0
"A367747","Dog","German Shepherd Mix","Black/Tan","10.00","Neutered Male","Foster","2014-11-04 08:34:00",NULL,NULL,0
"A370507","Cat","Domestic Shorthair Mix","Blue/White","10.00","Spayed Female","Foster","2015-08-15 09:24:00",NULL,NULL,0
"A371000","Cat","Domestic Shorthair Mix","Blue/White","11.00","Neutered Male",NULL,"2015-10-02 12:19:00",NULL,NULL,0
"A373687","Dog","Labrador Retriever Mix","Red/Black","9.00","Spayed Female",NULL,"2014-04-08 14:05:00",NULL,NULL,0
"A378348","Dog","German Shepherd Mix","Black/Brown","9.00","Neutered Male",NULL,"2014-01-19 13:39:00","2014-01-25 14:38:00","Owner Surrender",1
"A378348","Dog","German Shepherd Mix","Black/Brown","9.00","Neutered Male","Foster","2014-04-23 07:43:00",NULL,NULL,0
"A378946","Dog","Labrador Retriever Mix","Black","15.00","Spayed Female",NULL,"2017-10-14 18:31:00",NULL,NULL,0
"A380420","Dog","Labrador Retriever Mix","Black/White","13.00","Spayed Female","Foster","2018-02-22 07:06:00",NULL,NULL,0
"A384568","Cat","Domestic Shorthair Mix","White","9.00","Neutered Male",NULL,"2014-12-28 13:47:00",NULL,NULL,0
"A386276","Cat","Domestic Shorthair Mix","Flame Point","10.00","Neutered Male",NULL,"2015-12-28 16:24:00",NULL,NULL,0
"A390222","Dog","Jack Russell Terrier","White/Tan","9.00","Spayed Female",NULL,"2013-12-08 15:16:00","2013-12-08 17:04:00","Owner Surrender",1
"A390222","Dog","Jack Russell Terrier","White/Tan","9.00","Spayed Female",NULL,"2013-12-15 17:10:00",NULL,NULL,0
"A396810","Dog","Field Spaniel Mix","Black","13.00","Spayed Female","Foster","2016-12-23 13:19:00",NULL,NULL,0
"A400498","Dog","Chihuahua Shorthair Mix","White/Brown","13.00","Neutered Male",NULL,"2016-10-15 13:57:00",NULL,NULL,0
"A400680","Dog","Australian Cattle Dog/Parson Russell Terrier","White/Brown Merle","12.00","Spayed Female",NULL,"2017-10-02 14:35:00",NULL,NULL,0
"A410668","Cat","Domestic Shorthair Mix","Black","12.00","Spayed Female","Foster","2016-06-12 11:46:00",NULL,NULL,0
"A410684","Cat","Domestic Shorthair Mix","Calico","9.00","Spayed Female",NULL,"2014-06-27 17:50:00",NULL,NULL,0
"A412626","Dog","Labrador Retriever Mix","Black/White","12.00","Neutered Male",NULL,"2016-03-28 13:15:00",NULL,NULL,0
"A414620","Dog","Border Collie Mix","White/Gray","13.00","Neutered Male",NULL,"2017-10-28 18:25:00",NULL,NULL,0
"A417545","Cat","Domestic Shorthair Mix","Black/White","11.00","Spayed Female","Foster","2016-03-01 10:04:00",NULL,NULL,0
"A417642","Cat","Domestic Shorthair Mix","Black","12.00","Neutered Male",NULL,"2015-10-19 16:08:00",NULL,NULL,0
"A423546","Dog","Border Collie Mix","Black/White","11.00","Neutered Male",NULL,"2016-10-08 14:51:00",NULL,NULL,0
"A428783","Dog","Australian Cattle Dog","Blue Tick/Brown","8.00","Spayed Female",NULL,"2014-02-13 16:33:00",NULL,NULL,0
"A430368","Dog","Labrador Retriever Mix","Black/White","7.00","Neutered Male",NULL,"2014-02-21 18:09:00",NULL,NULL,0
"A431615","Dog","Pit Bull/Chinese Sharpei","Chocolate","8.00","Spayed Female","Foster","2014-08-01 07:51:00",NULL,NULL,0
"A432197","Cat","Domestic Shorthair Mix","Orange Tabby/White","8.00","Spayed Female",NULL,"2014-01-01 19:23:00",NULL,NULL,0
"A438287","Dog","Chihuahua Shorthair Mix","Tan","13.00","Spayed Female",NULL,"2018-01-04 12:40:00","2018-01-08 12:03:00","Owner Surrender",1
"A438287","Dog","Chihuahua Shorthair Mix","Tan","14.00","Spayed Female",NULL,"2018-01-13 17:54:00",NULL,NULL,0
"A441798","Dog","German Shepherd Mix","Black/Tan","8.00","Neutered Male","Foster","2014-11-04 08:42:00",NULL,NULL,0
"A442798","Dog","Rat Terrier Mix","White/Tricolor","9.00","Spayed Female",NULL,"2015-04-29 14:46:00",NULL,NULL,0
"A443085","Dog","Labrador Retriever/Chinese Sharpei","Black","8.00","Neutered Male",NULL,"2014-07-21 16:23:00","2014-08-01 12:44:00","Owner Surrender",1
"A443790","Dog","Collie Smooth Mix","Black/Brown","9.00","Neutered Male",NULL,"2014-09-13 17:58:00",NULL,NULL,0
"A445694","Dog","Boxer/Beagle","White/Brown","9.00","Spayed Female",NULL,"2013-10-25 16:31:00",NULL,NULL,0
"A447033","Dog","German Shepherd/Labrador Retriever","Black/Tan","8.00","Spayed Female",NULL,"2015-02-14 15:45:00",NULL,NULL,0
"A448267","Dog","Pit Bull Mix","Brown/White","12.00","Neutered Male","Foster","2015-06-25 12:44:00",NULL,NULL,0
"A449270","Cat","Domestic Shorthair Mix","Tortie","8.00","Spayed Female",NULL,"2015-02-04 18:44:00",NULL,NULL,0
"A449703","Cat","Siamese Mix","Seal Point","8.00","Spayed Female",NULL,"2015-02-04 18:43:00",NULL,NULL,0
"A449968","Cat","Domestic Shorthair Mix","Brown Tabby","8.00","Spayed Female",NULL,"2014-01-12 15:20:00","2015-10-30 14:49:00","Owner Surrender",0
"A449968","Cat","Domestic Shorthair Mix","Brown Tabby","10.00","Spayed Female",NULL,"2015-12-19 12:41:00",NULL,NULL,0
"A452508","Dog","Rottweiler","Black/Brown","10.00","Neutered Male","Foster","2016-09-30 11:37:00",NULL,NULL,0
"A453102","Dog","Border Collie/Labrador Retriever","Tricolor","10.00","Spayed Female","Foster","2017-01-11 08:26:00",NULL,NULL,0
"A453136","Cat","Domestic Longhair Mix","Black Tabby","8.00","Neutered Male",NULL,"2014-04-13 16:01:00",NULL,NULL,0
"A453523","Dog","Golden Retriever/Chow Chow","Tan/Buff","10.00","Neutered Male",NULL,"2016-09-04 13:05:00",NULL,NULL,0
"A455868","Dog","Black/Tan Hound Mix","Black/Brown","9.00","Spayed Female",NULL,"2014-07-27 11:26:00",NULL,NULL,0
"A456133","Dog","Catahoula Mix","Red/White","12.00","Neutered Male","Foster","2017-10-13 14:26:00",NULL,NULL,0
"A457029","Dog","Basset Hound Mix","Black/Brown","9.00","Neutered Male",NULL,"2014-08-04 12:03:00",NULL,NULL,0
"A460458","Dog","Chihuahua Shorthair Mix","Chocolate/White","8.00","Neutered Male",NULL,"2016-02-23 16:18:00","2017-05-16 09:03:00","Owner Surrender",0
"A460458","Dog","Chihuahua Shorthair Mix","Chocolate/White","10.00","Neutered Male",NULL,"2017-06-10 13:30:00",NULL,NULL,0
"A462504","Dog","Pit Bull Mix","Red/White","9.00","Spayed Female",NULL,"2014-09-08 15:12:00","2016-11-10 16:02:00","Owner Surrender",0
"A462504","Dog","Pit Bull Mix","Red/White","11.00","Spayed Female","Foster","2017-02-09 09:39:00",NULL,NULL,0
"A462580","Dog","Pit Bull","Brown Brindle/White","12.00","Neutered Male","Foster","2016-10-29 14:55:00",NULL,NULL,0
"A465501","Dog","Labrador Retriever","Black","6.00","Spayed Female",NULL,"2013-10-31 12:46:00",NULL,NULL,0
"A465830","Cat","Domestic Shorthair Mix","Black/White","7.00","Neutered Male",NULL,"2014-04-21 13:52:00",NULL,NULL,0
"A465849","Dog","Chihuahua Shorthair Mix","White/Brown","15.00","Intact Female",NULL,"2018-01-20 17:49:00",NULL,NULL,0
"A468026","Dog","Pit Bull Mix","Black Brindle/White","10.00","Spayed Female","Foster","2016-11-12 14:39:00",NULL,NULL,0
"A471015","Dog","Chihuahua Shorthair","Black/Tan","7.00","Neutered Male",NULL,"2013-12-14 13:32:00",NULL,NULL,0
"A474000","Cat","Domestic Longhair Mix","Brown Tabby","11.00","Neutered Male",NULL,"2017-08-12 18:12:00","2017-12-03 11:25:00","Owner Surrender",1
"A474000","Cat","Domestic Longhair Mix","Brown Tabby","11.00","Neutered Male",NULL,"2017-12-29 17:49:00",NULL,NULL,0
"A474001","Cat","Domestic Longhair Mix","White","11.00","Spayed Female",NULL,"2017-08-12 18:12:00","2017-12-03 11:25:00","Owner Surrender",1
"A474001","Cat","Domestic Longhair Mix","White","11.00","Spayed Female",NULL,"2017-12-29 17:49:00",NULL,NULL,0
"A474311","Cat","Domestic Shorthair Mix","Brown Tabby","8.00","Neutered Male",NULL,"2015-05-05 11:27:00",NULL,NULL,0
"A476054","Dog","Labrador Retriever Mix","Black/White","7.00","Spayed Female",NULL,"2015-09-12 12:27:00",NULL,NULL,0
"A476741","Cat","Snowshoe Mix","Lilac Point","6.00","Spayed Female",NULL,"2014-04-06 13:30:00",NULL,NULL,0
"A477746","Cat","Domestic Shorthair Mix","Brown Tabby","8.00","Spayed Female","Foster","2015-04-24 07:36:00",NULL,NULL,0
"A478560","Dog","Australian Cattle Dog Mix","Blue Tick/Brown","9.00","Spayed Female",NULL,"2016-04-03 12:21:00","2016-04-07 18:44:00","Owner Surrender",1
"A478560","Dog","Australian Cattle Dog Mix","Blue Tick/Brown","9.00","Spayed Female","Foster","2016-05-07 13:18:00",NULL,NULL,0
"A479137","Dog","Black Mouth Cur Mix","Brown/Black","9.00","Spayed Female",NULL,"2014-04-03 11:52:00",NULL,NULL,0
"A483240","Cat","Domestic Longhair/Persian","Blue Cream","6.00","Spayed Female",NULL,"2013-11-16 15:58:00","2013-11-30 14:30:00","Owner Surrender",1
"A483240","Cat","Domestic Longhair/Persian","Blue Cream","6.00","Spayed Female","Foster","2013-12-04 13:33:00",NULL,NULL,0
"A484851","Dog","Tibetan Terrier Mix","Cream/Black","10.00","Spayed Female",NULL,"2016-05-26 16:28:00",NULL,NULL,0
"A485352","Cat","Domestic Shorthair Mix","Brown Tabby","11.00","Spayed Female",NULL,"2014-09-04 14:27:00",NULL,NULL,0
"A485674","Dog","Miniature Schnauzer","White","9.00","Neutered Male",NULL,"2014-12-29 11:37:00",NULL,NULL,0
"A485940","Dog","Labrador Retriever Mix","Red/White","11.00","Spayed Female",NULL,"2015-10-24 12:20:00",NULL,NULL,0
"A487253","Cat","Domestic Longhair Mix","Black Smoke","6.00","Neutered Male",NULL,"2014-05-18 15:11:00","2016-01-08 14:47:00","Owner Surrender",0
"A487253","Cat","Domestic Longhair Mix","Black Smoke","8.00","Neutered Male",NULL,"2016-01-30 16:31:00",NULL,NULL,0
"A488066","Dog","Border Collie Mix","Brown/White","7.00","Neutered Male",NULL,"2014-06-30 11:37:00",NULL,NULL,0
"A489415","Cat","Domestic Shorthair Mix","White","9.00","Neutered Male",NULL,"2017-09-04 17:12:00",NULL,NULL,0
"A489417","Cat","Domestic Shorthair Mix","Brown Tabby/White","9.00","Spayed Female",NULL,"2017-08-27 14:00:00",NULL,NULL,0
"A489704","Dog","German Shepherd","Sable","14.00","Neutered Male",NULL,"2015-03-19 17:34:00",NULL,NULL,0
"A489912","Dog","Chihuahua Shorthair Mix","Tan/White","10.00","Neutered Male",NULL,"2016-02-10 19:00:00",NULL,NULL,0
"A492808","Dog","Chinese Sharpei/Labrador Retriever","Brown/White","8.00","Neutered Male",NULL,"2014-09-27 16:25:00",NULL,NULL,0
"A493167","Dog","Chow Chow/Pekingese","Black","12.00","Spayed Female","Foster","2017-09-10 16:28:00",NULL,NULL,0
"A493772","Dog","Labrador Retriever Mix","Buff","7.00","Neutered Male",NULL,"2014-01-07 17:41:00",NULL,NULL,0
"A494120","Dog","West Highland/Toy Fox Terrier","White","8.00","Neutered Male",NULL,"2016-04-07 19:38:00","2016-04-11 17:49:00","Owner Surrender",1
"A494120","Dog","West Highland/Toy Fox Terrier","White","9.00","Neutered Male","Foster","2016-07-31 14:49:00",NULL,NULL,0
"A495060","Dog","Border Collie Mix","White/Tricolor","8.00","Spayed Female","Foster","2016-07-24 08:05:00","2016-09-06 15:07:00","Owner Surrender",1
"A495060","Dog","Border Collie Mix","White/Tricolor","9.00","Spayed Female","Foster","2016-11-20 11:41:00",NULL,NULL,0
"A495740","Dog","Golden Retriever Mix","Buff/White","9.00","Neutered Male",NULL,"2015-12-19 15:02:00",NULL,NULL,0
"A495792","Cat","Domestic Shorthair Mix","White/Brown Tabby","6.00","Neutered Male",NULL,"2014-08-23 18:15:00",NULL,NULL,0
"A498720","Dog","Rat Terrier","Tricolor","10.00","Spayed Female","Foster","2016-07-29 13:25:00",NULL,NULL,0
"A499387","Cat","Domestic Shorthair Mix","Brown Tabby/Orange","8.00","Spayed Female",NULL,"2015-04-20 18:45:00",NULL,NULL,0
"A500349","Dog","Parson Russell Terrier","Tricolor","9.00","Neutered Male",NULL,"2016-07-09 13:09:00",NULL,NULL,0
"A500361","Dog","Labrador Retriever Mix","Black/White","9.00","Spayed Female","Foster","2014-08-27 10:08:00",NULL,NULL,0
"A500873","Cat","Domestic Shorthair Mix","Brown Tabby","10.00","Spayed Female",NULL,"2017-11-19 11:29:00",NULL,NULL,0
"A500955","Cat","Domestic Shorthair Mix","Black","10.00","Neutered Male","Foster","2017-10-29 17:43:00",NULL,NULL,0
"A501443","Dog","Labrador Retriever Mix","Black","9.00","Spayed Female",NULL,"2014-09-17 14:10:00",NULL,NULL,0
"A502315","Dog","Parson Russell Terrier","White/Brown","8.00","Neutered Male",NULL,"2015-02-07 14:39:00",NULL,NULL,0
"A503431","Dog","Norwich Terrier Mix","Brown/Black","10.00","Spayed Female","Foster","2017-05-02 00:00:00",NULL,NULL,0
"A503957","Cat","Domestic Longhair","Brown Tabby","10.00","Neutered Male",NULL,"2017-06-16 12:01:00",NULL,NULL,0
"A504891","Dog","Dachshund","Black/Brown Brindle","11.00","Intact Male",NULL,"2015-04-17 15:43:00",NULL,NULL,0
"A505412","Cat","Domestic Shorthair Mix","White/Black","8.00","Spayed Female",NULL,"2013-10-18 11:43:00",NULL,NULL,0
"A506000","Dog","Labrador Retriever Mix","White/Tan","9.00","Neutered Male","Foster","2016-09-21 12:03:00",NULL,NULL,0
"A506775","Dog","Boston Terrier","Black/White","9.00","Spayed Female",NULL,"2016-02-13 12:35:00","2016-06-08 00:00:00","Stray",1
"A506854","Dog","Golden Retriever Mix","Gold","9.00","Neutered Male",NULL,"2017-02-25 16:37:00",NULL,NULL,0
"A507705","Cat","Domestic Shorthair Mix","Blue Tabby","13.00","Neutered Male",NULL,"2017-01-20 17:45:00",NULL,NULL,0
"A508692","Cat","Domestic Longhair Mix","Black/White","8.00","Spayed Female",NULL,"2017-01-07 18:09:00",NULL,NULL,0
"A509042","Cat","Domestic Shorthair Mix","Brown Tabby/White","8.00","Neutered Male",NULL,"2014-12-11 16:29:00",NULL,NULL,0
"A510336","Cat","Domestic Shorthair Mix","Black/White","7.00","Neutered Male",NULL,"2015-04-24 14:53:00",NULL,NULL,0
"A511822","Cat","Domestic Shorthair Mix","Torbie","7.00","Spayed Female",NULL,"2016-02-21 18:21:00",NULL,NULL,0
"A512158","Cat","Domestic Shorthair Mix","Blue Cream/Tortie","6.00","Spayed Female",NULL,"2015-02-19 14:15:00",NULL,NULL,0
"A512959","Dog","German Shepherd Mix","Brown/Black","6.00","Neutered Male",NULL,"2014-11-02 11:40:00",NULL,NULL,0
"A515049","Dog","Pit Bull Mix","Red/White","6.00","Neutered Male",NULL,"2015-03-08 12:09:00",NULL,NULL,0
"A515271","Dog","Vizsla/Labrador Retriever","Brown","8.00","Neutered Male",NULL,"2015-05-18 12:31:00",NULL,NULL,0
"A515831","Cat","Domestic Shorthair Mix","Brown Tabby/White","14.00","Spayed Female",NULL,"2016-12-18 15:18:00",NULL,NULL,0
"A516259","Dog","Pit Bull","Black/White","9.00","Spayed Female",NULL,"2016-02-01 11:16:00",NULL,NULL,0
"A516577","Dog","Chihuahua Shorthair Mix","Black/Tricolor","9.00","Neutered Male",NULL,"2015-12-29 03:00:00","2016-02-11 11:53:00","Owner Surrender",1
"A516577","Dog","Chihuahua Shorthair Mix","Black/Tricolor","10.00","Neutered Male",NULL,"2016-02-13 18:54:00",NULL,NULL,0
"A516660","Dog","Australian Cattle Dog/Parson Russell Terrier","White/Tan","6.00","Spayed Female",NULL,"2014-01-01 15:32:00",NULL,NULL,0
"A517501","Cat","Ragdoll Mix","Calico Point","9.00","Spayed Female",NULL,"2015-10-17 15:44:00",NULL,NULL,0
"A517502","Cat","Domestic Shorthair Mix","Orange Tabby","10.00","Neutered Male",NULL,"2015-10-28 17:15:00",NULL,NULL,0
"A517675","Dog","Australian Cattle Dog","White/Black","11.00","Spayed Female",NULL,"2015-08-29 12:49:00","2015-09-03 17:23:00","Owner Surrender",1
"A517675","Dog","Australian Cattle Dog","White/Black","11.00","Spayed Female",NULL,"2015-09-05 13:53:00","2015-09-07 11:32:00","Owner Surrender",1
"A517675","Dog","Australian Cattle Dog","White/Black","11.00","Spayed Female",NULL,"2015-09-20 13:08:00",NULL,NULL,0
"A519025","Cat","Domestic Shorthair Mix","Blue Tabby","6.00","Neutered Male",NULL,"2014-04-05 14:16:00",NULL,NULL,0
"A520299","Cat","Domestic Longhair Mix","Tortie","5.00","Spayed Female","Foster","2013-10-29 14:31:00",NULL,NULL,0
"A520786","Cat","Domestic Shorthair Mix","Black","9.00","Spayed Female",NULL,"2018-03-21 15:13:00",NULL,NULL,0
"A521990","Dog","Chihuahua Shorthair Mix","Black/White","12.00","Spayed Female",NULL,"2016-05-28 15:52:00",NULL,NULL,0
"A523102","Cat","Domestic Shorthair Mix","Brown Tabby","9.00","Neutered Male","Foster","2018-03-22 13:45:00",NULL,NULL,0
"A524092","Dog","Pit Bull","Chocolate/White","9.00","Spayed Female",NULL,"2017-12-09 17:48:00",NULL,NULL,0
"A524313","Dog","Australian Cattle Dog Mix","White/Red Merle","8.00","Spayed Female","Foster","2016-08-27 11:36:00",NULL,NULL,0
"A524634","Dog","Pit Bull","Blue/White","8.00","Spayed Female","Foster","2015-06-24 08:26:00",NULL,NULL,0
"A525592","Cat","Domestic Shorthair Mix","Brown Tabby","7.00","Spayed Female",NULL,"2015-06-30 12:50:00",NULL,NULL,0
"A525768","Dog","Labrador Retriever Mix","Brown/White","6.00","Spayed Female",NULL,"2014-02-22 17:46:00",NULL,NULL,0
"A526238","Cat","Domestic Shorthair Mix","Black/White","10.00","Spayed Female","Foster","2014-01-27 11:05:00",NULL,NULL,0
"A527094","Cat","Domestic Shorthair Mix","Black","6.00","Neutered Male",NULL,"2014-01-03 17:58:00",NULL,NULL,0
"A528321","Dog","Akita","White","6.00","Spayed Female",NULL,"2014-05-18 17:42:00",NULL,NULL,0
"A528322","Dog","Siberian Husky","Brown/White","6.00","Neutered Male",NULL,"2014-05-04 13:22:00",NULL,NULL,0
"A528524","Dog","Beagle Mix","Red/White","6.00","Neutered Male",NULL,"2014-09-11 11:24:00","2016-03-05 07:58:00","Stray",0
"A529318","Dog","Labrador Retriever Mix","Brown/Black","12.00","Neutered Male",NULL,"2015-09-11 15:12:00",NULL,NULL,0
"A529630","Cat","Domestic Shorthair Mix","Flame Point","9.00","Spayed Female",NULL,"2015-08-15 17:21:00",NULL,NULL,0
"A530302","Cat","Domestic Shorthair Mix","Blue Tabby","15.00","Spayed Female",NULL,"2018-03-18 18:13:00",NULL,NULL,0
"A530547","Dog","Australian Shepherd/Border Collie","Tan/Black","9.00","Neutered Male","Foster","2017-10-13 11:44:00",NULL,NULL,0
"A530793","Cat","Domestic Shorthair Mix","Blue","5.00","Neutered Male","Foster","2014-02-08 11:44:00","2014-03-14 11:01:00","Owner Surrender",1
"A531317","Dog","Pit Bull Mix","Black/White","10.00","Neutered Male",NULL,"2017-09-17 05:55:00","2017-09-19 13:59:00","Owner Surrender",1
"A531394","Dog","Dachshund Stan Mix","Black/Tan","11.00","Neutered Male",NULL,"2015-05-02 19:10:00",NULL,NULL,0
"A531398","Dog","Chihuahua Shorthair Mix","Brown/White","9.00","Neutered Male",NULL,"2014-06-01 18:14:00",NULL,NULL,0
"A531739","Dog","Pointer Mix","White/Tan","5.00","Neutered Male",NULL,"2013-11-30 13:31:00","2014-07-20 12:00:00","Owner Surrender",0
"A531739","Dog","Pointer Mix","White/Tan","6.00","Neutered Male",NULL,"2014-08-31 17:36:00",NULL,NULL,0
"A532017","Dog","Chihuahua Shorthair/Rat Terrier","White/Tan","7.00","Spayed Female",NULL,"2014-01-05 18:11:00",NULL,NULL,0
"A532351","Dog","Toy Poodle","Gray/Black","6.00","Spayed Female",NULL,"2015-01-12 18:02:00",NULL,NULL,0
"A532406","Dog","Toy Poodle","Black","6.00","Spayed Female",NULL,"2014-09-22 18:16:00",NULL,NULL,0
"A532694","Dog","Chihuahua Shorthair Mix","Tan/White","8.00","Neutered Male",NULL,"2015-10-31 14:04:00","2015-11-02 07:33:00","Stray",1
"A532762","Dog","Australian Cattle Dog Mix","White/Black","10.00","Neutered Male",NULL,"2017-01-10 14:38:00",NULL,NULL,0
"A533106","Dog","Podengo Pequeno Mix","Black/White","7.00","Neutered Male",NULL,"2014-09-14 15:57:00",NULL,NULL,0
"A533243","Dog","Labrador Retriever/Pit Bull","Chocolate","9.00","Neutered Male","Foster","2018-02-13 16:27:00",NULL,NULL,0
"A533602","Dog","Labrador Retriever Mix","Buff","9.00","Spayed Female",NULL,"2016-06-10 16:47:00",NULL,NULL,0
"A534208","Dog","Staffordshire Mix","Chocolate/White","11.00","Spayed Female",NULL,"2017-08-29 17:46:00",NULL,NULL,0
"A534548","Dog","Parson Russell Terrier Mix","White/Black","6.00","Spayed Female",NULL,"2014-05-09 13:53:00",NULL,NULL,0
"A534780","Dog","Parson Russell Terrier Mix","White/Tricolor","6.00","Neutered Male",NULL,"2014-01-13 19:30:00","2016-11-01 10:36:00","Owner Surrender",0
"A534780","Dog","Parson Russell Terrier Mix","White/Tricolor","9.00","Neutered Male",NULL,"2016-11-27 14:12:00","2016-12-31 11:33:00","Owner Surrender",1
"A534780","Dog","Parson Russell Terrier Mix","White/Tricolor","9.00","Neutered Male",NULL,"2017-01-03 11:37:00",NULL,NULL,0
"A535012","Dog","Chow Chow Mix","Black","9.00","Neutered Male",NULL,"2016-04-14 18:50:00",NULL,NULL,0
"A535124","Dog","Dutch Shepherd Mix","Brown Brindle","5.00","Neutered Male",NULL,"2014-06-03 13:56:00",NULL,NULL,0
"A535292","Dog","Pointer/Basset Hound","White/Chocolate","9.00","Neutered Male","Foster","2016-12-06 11:33:00",NULL,NULL,0
"A535484","Dog","Pit Bull Mix","White/Brown","5.00","Neutered Male",NULL,"2014-12-07 18:38:00",NULL,NULL,0
"A535492","Cat","Domestic Shorthair Mix","Brown Tabby","9.00","Spayed Female",NULL,"2018-03-19 15:02:00",NULL,NULL,0
"A535768","Dog","Australian Shepherd","Blue Merle","11.00","Spayed Female",NULL,"2017-11-30 19:09:00",NULL,NULL,0
"A536404","Dog","Chihuahua Shorthair Mix","Tan/White","8.00","Spayed Female",NULL,"2016-06-24 16:47:00",NULL,NULL,0
"A536506","Dog","Yorkshire Terrier/Border Terrier","Black/Tan","7.00","Spayed Female",NULL,"2014-04-26 18:46:00",NULL,NULL,0
"A538342","Dog","Chihuahua Shorthair Mix","Red","8.00","Spayed Female",NULL,"2015-11-27 14:59:00",NULL,NULL,0
"A538370","Cat","Domestic Shorthair Mix","Blue","7.00","Spayed Female",NULL,"2016-03-04 19:34:00","2016-03-27 18:54:00","Owner Surrender",1
